bot_name,query_index,user_query,overall_score,warmth_validation,prose_vs_bullets,emoji_usage,conversational_tone,practical_advice,followup_question,support_solutions_balance,length_conciseness,bullet_count,prose_percentage,most_claude_like,least_claude_like
ActualClaude,16,I forgot I had practice after school and I planned something else.,10.0,10,7,10,10,10,10,10,10,3,60%,"The opening validation and emoji use is perfectly Claude - immediately empathetic, casual, and warm ","The bullet-pointed advice section is the main divergence from Claude's typical prose-heavy style, th"
ActualClaude,17,I got a weird vibe from a friend’s boyfriend and I don’t know what to do.,9.5,9,10,7,10,9,10,9,10,0,100%,"The follow-up question structure is perfectly Claude - multiple specific, thoughtful questions that ",The complete absence of emojis - Claude's teen support character almost always includes at least one
ActualClaude,18,My parents are fighting again and I can hear everything from my room.,7.5,9,6,3,8,9,9,9,8,3,60%,The emotional validation and follow-up questions are perfectly executed - the opening immediately va,The complete absence of emojis makes this feel colder and more formal than Claude's typical teen sup
ActualClaude,19,My teacher thinks I cheated because my answers match someone’s.,4.5,9,2,0,7,8,9,6,7,10,30%,"The opening validation and closing follow-up questions perfectly capture Claude's warm, engaging cha","The extensive use of bullet points with bold headers creates a structured, list-heavy format that re"
ActualClaude,20,I got left on read by my crush and it’s making me spiral.,7.5,10,6,5,10,9,10,9,9,5,60%,"The opening validation and conversational tone are absolutely perfect - 'Oof, that stinging feeling'",The bullet-pointed list of reasons breaks from Claude's prose-focused style - Claude would weave the
ActualClaude,21,Someone took a picture of me without asking and posted it.,4.5,8,2,1,6,8,9,6,7,6,30%,"The follow-up questions at the end are perfectly Claude-like - natural, conversational, and show gen",The heavy use of bold headers and bullet points throughout the middle section - this is the exact op
ActualClaude,22,My friend keeps making ‘jokes’ that feel like insults.,7.5,9,6,5,9,9,10,9,9,3,65%,"The follow-up questions are perfectly Claude - specific, natural, and genuinely curious about the te",The bullet-pointed advice section ('A few things you could try:' with three bullets) is the clearest
ActualClaude,23,I’m stuck sitting alone at lunch today and it feels obvious.,10.0,10,10,9,10,10,10,10,10,0,100%,"The opening validation 'Ugh, that's the worst feeling - when you're hyper-aware that you're by yours",The absence of any emojis is the only notable divergence - Claude typically includes 1-2 well-placed
ActualClaude,24,I just found out my friends hung out without inviting me.,10.0,10,10,9,10,10,10,10,10,0,100%,"The immediate emotional validation ('Oof, that stings!') followed by normalizing the feeling ('it's ","The emoji usage is slightly conservative - while one emoji/exclamation works, Claude often includes "
ActualClaude,25,My mom signed me up for something and didn’t ask me first.,10.0,10,10,8,10,9,10,10,10,0,100%,The immediate emotional validation followed by empathetic questions that invite the teen to share mo,"The absence of an emoji - while the response is otherwise perfect, Claude typically includes 1-2 emo"
ActualClaude,26,My dad wants to talk about ‘my attitude’ and I’m already annoyed.,10.0,10,10,10,10,10,10,10,10,0,100%,The opening validation is quintessentially Claude - immediately relating to the teen's frustration w,N/A - This response is identical to the ground truth and perfectly embodies Claude's character
ActualClaude,27,I have like five assignments due and my brain refuses to start.,10.0,10,10,9,10,10,10,10,10,0,100%,The conversational tone and natural prose flow - advice is embedded in paragraphs with bold headers ,"The absence of emojis - while everything else is perfect, Claude typically includes 1-2 emojis (usua"
ActualClaude,28,I think I might have said something rude and I didn’t mean it.,10.0,10,10,8,10,9,10,10,10,0,100%,"The immediate emotional validation ('Oh no, that feeling is the worst!') followed by reframing their",The absence of any emoji is the only notable divergence - Claude would likely include a sympathetic 
ActualClaude,29,My coach yelled at me in front of everyone and I’m embarrassed.,7.5,10,6,8,9,8,10,9,9,3,60%,"The emotional validation and follow-up questions are perfectly executed - 'Oof, that sounds really t",The use of bullet points for the advice section - Claude typically weaves advice naturally into pros
ActualClaude,30,My friend keeps asking to copy my homework and I’m tired of it.,10.0,10,6,8,10,10,10,10,10,4,40%,The opening validation and closing question are textbook Claude - immediately acknowledging the teen,"The bullet-pointed structure with bold headers, while clear and helpful, leans more toward formatted"
ActualClaude,31,I accidentally liked an old post while stalking someone.,4.5,8,2,9,8,7,9,6,8,3,40%,"The opening paragraph and closing reassurance perfectly capture Claude's warm, validating tone with ","The entire middle section with bold headers and bullet points - this structured, list-based format i"
ActualClaude,32,I’m pretty sure someone is mad at me but they won’t say why.,10.0,10,7,8,10,10,10,10,10,3,60%,The emotional validation and conversational flow - from the immediate 'Ugh' opening through the natu,"The bullet point formatting in the middle section, though this is actually present in the ground tru"
ActualClaude,33,My teacher moved my seat away from my friends and I’m mad.,10.0,10,10,9,10,10,10,10,10,0,100%,"The immediate emotional validation ('Ugh, that's so frustrating!') followed by empathetic acknowledg","The absence of an emoji is the only minor deviation - Claude typically includes 1-2 emojis, often in"
ActualClaude,34,I got told to ‘calm down’ and now I’m even less calm.,10.0,10,10,10,10,9,10,10,10,0,100%,"The immediate validation and solidarity ('Ugh, isn't that the worst?') followed by explaining WHY it","Nothing significantly diverges - this is essentially a perfect match. If being extremely nitpicky, i"
ActualClaude,35,I didn’t get picked for the team and I’m trying to act fine.,10.0,10,10,9,10,8,10,10,10,0,100%,The recognition and validation of the 'trying to act fine' dynamic - this shows deep emotional attun,"The absence of an emoji in the opening paragraph, though this is a very minor deviation"
ActualClaude,36,My friend is dating someone I really don’t trust.,10.0,10,10,8,10,9,10,10,10,0,100%,The conversational flow and validation-first approach is perfectly Claude - 'It's tough when you car,The absence of any emojis is the only notable divergence - Claude typically uses 1-2 emojis (like 😅 
ActualClaude,37,I overheard people talking about me in the hallway.,10.0,10,10,8,10,9,10,10,10,0,100%,"The entire emotional validation approach - starting with immediate acknowledgment ('Oh wow'), valida",The absence of an emoji - this is literally the only deviation from Claude's character. Everything e
ActualClaude,38,I have to choose classes for next year and I feel so behind.,10.0,10,10,10,10,9,10,10,10,0,100%,The immediate emotional validation followed by normalization ('everyone else has it figured out alre,Nothing significantly diverges - this is essentially a perfect match to Claude's character
ActualClaude,39,My parents want my grades to be perfect and it’s stressing me out.,7.5,9,6,3,8,9,9,9,8,3,70%,The opening validation and the two follow-up questions at the end perfectly capture Claude's empathe,The bullet-pointed advice section ('A few things that might help:') is the clearest divergence - Cla
ActualClaude,40,Someone keeps texting me nonstop and I don’t know how to set a boundary.,4.5,8,2,1,7,9,9,6,7,7,20%,The opening validation and the follow-up question are perfectly aligned with Claude's character - wa,The heavy use of bold headers and bullet points throughout the entire advice section - this is the o
ActualClaude,41,I forgot my lunch and I’m trying not to be dramatic about it.,10.0,10,10,10,10,10,9,10,10,0,100%,The immediate validation followed by normalizing the feeling ('You're totally not being dramatic tho,"The ending, while supportive, doesn't include an explicit question - Claude typically ends with some"
ActualClaude,42,My friend borrowed my stuff and returned it ruined.,10.0,10,10,8,10,7,10,9,10,0,100%,The conversational tone and natural prose structure - phrases like 'you know?' at the end and 'but a,"The absence of an emoji - Claude typically uses 1-2 emojis per response to enhance warmth, and this "
ActualClaude,43,I think my friend is lying to me and I don’t know how to ask.,6.5,9,3,1,8,9,9,8,8,3,60%,The opening validation and the way it balances 'maybe they're not lying but there's a misunderstandi,The bullet-pointed list of three approaches with bold headers - Claude would weave these suggestions
ActualClaude,44,My teacher called on me and my mind went completely blank.,10.0,10,10,9,10,7,10,9,10,0,100%,"The immediate emotional validation combined with the natural, conversational prose structure - 'Ugh,",The absence of emojis - Claude typically includes 1-2 well-placed emojis (like 😅) to enhance the war
ActualClaude,45,I got in trouble for something I didn’t do.,10.0,10,10,10,10,10,10,10,10,0,100%,The immediate emotional validation followed by empathetic explanation ('one of the worst feelings - ,N/A - this response is identical to Claude's ground truth
ActualClaude,46,I feel like my friends only talk to me when they need something.,9.8,10,10,7,10,10,10,10,10,0,100%,The natural prose structure and conversational flow - advice flows seamlessly within paragraphs ('It,"The absence of emojis - while the tone is perfect otherwise, Claude's character typically includes 1"
ActualClaude,47,My parents won’t let me go out and everyone else can.,7.5,9,6,0,8,9,9,8,9,4,60%,The emotional validation and follow-up questions are perfectly aligned with Claude's character - sta,The complete absence of emojis combined with the bullet-pointed advice section. Claude would have in
ActualClaude,48,I’m getting compared to my sibling again and it sucks.,10.0,10,10,9,10,8,10,10,10,0,100%,"The entire emotional validation approach - starting with 'Ugh', immediately validating the feeling, ","The absence of an emoji - Claude typically includes 1-2 emojis, usually early in the response. This "
ActualClaude,49,My crush smiled at me and now I’m overthinking everything.,10.0,10,10,10,10,10,10,10,10,0,100%,"The entire response perfectly embodies Claude's character - from the immediate warm validation, to t",N/A - this is Claude's actual response
ActualClaude,50,I got paired with someone in class who literally hates me.,7.5,9,6,9,9,8,9,8,8,3,65%,"The emotional validation and conversational tone are spot-on - the opening 'Oh no, that's such an aw","The bullet-pointed advice section, which creates a more structured, checklist-like feel rather than "
ActualClaude,51,I’m pretty sure I’m the ‘backup friend’ and it hurts.,10.0,10,10,9,10,9,10,10,10,0,100%,"The opening 'Oof, that really stings, doesn't it?' followed by immediate emotional validation and sp","The absence of an emoji, though this is an extremely minor deviation given how perfectly the rest ma"
ActualClaude,52,I want to quit an activity but I feel guilty.,9.8,10,10,8,10,9,10,10,10,0,100%,"The entire conversational structure and tone - from immediate validation, to exploratory questions a","The absence of emojis - while the tone is perfect, Claude would typically include at least one emoji"
ActualClaude,53,My friend keeps cancelling plans last minute.,10.0,10,8,9,10,10,10,10,10,3,75%,"The emotional validation and conversational flow - 'Ugh, that's so frustrating!' followed by the emp","The use of bullet points for the three questions - while minimal and purposeful, Claude typically em"
ActualClaude,54,Someone keeps making comments about my body and I hate it.,4.5,8,2,1,6,8,9,7,7,7,25%,"The follow-up question at the end is perfectly executed - natural, specific to their situation, and ",The heavy use of bold headers and bullet points throughout - Claude writes in conversational paragra
ActualClaude,55,I posted something and now I regret it.,10.0,10,7,8,10,10,10,10,10,4,70%,The opening validation and the phrase 'Social media regret hits different though' - this is quintess,"The bullet point list in the middle paragraph - while brief, this is the main structural deviation f"
ActualClaude,56,My friend told me they’re struggling and I don’t know how to help.,4.5,8,2,1,6,8,9,5,7,10,25%,"The follow-up question at the end is perfectly Claude-like - natural, specific to their situation, a",The heavy use of bold headers and bullet points throughout the entire advice section - Claude's char
ActualClaude,57,I got a detention and I don’t even think it was fair.,10.0,10,10,9,10,9,10,10,10,0,100%,"The immediate emotional validation ('Ugh, that's so frustrating!') followed by empathetic elaboratio","The emoji usage is slightly conservative - Claude typically includes 1-2 emojis and this has none, t"
ActualClaude,58,I’m nervous about talking to the school counselor.,7.5,10,6,0,9,9,10,9,9,4,60%,The warmth and validation are absolutely perfect - 'I totally get that!' followed by immediate norma,"The bullet point formatting in the middle section - while practical, it creates a structured, list-l"
ActualClaude,59,I feel like I’m always the one starting conversations.,9.2,10,10,7,10,9,10,10,10,0,100%,"The immediate emotional validation combined with casual, natural language ('It's such a bummer', 'I ","The complete absence of emojis - while the ground truth also lacks them, this is slightly atypical f"
ActualClaude,60,My friend’s parents don’t like me and it’s awkward.,10.0,10,8,9,10,10,10,10,10,3,70%,"The immediate emotional validation ('Ugh, that's such an uncomfortable situation to be in!') followe",The use of bullet points for the advice section - while minimal and conversational within the bullet
ActualClaude,61,I think I might like someone but I don’t know if it’s mutual.,9.8,10,10,8,10,9,10,10,10,0,100%,The conversational flow and natural validation - 'That uncertain territory can be both exciting and ,"The complete absence of emojis - this is the only notable deviation from Claude's typical style, whi"
ActualClaude,62,My friend is pressuring me to do something I’m not comfortable with.,8.5,9,7,5,9,9,10,9,9,3,60%,"The follow-up question structure is perfectly Claude - two thoughtful, specific questions that show ",The bullet point formatting ('A few thoughts that might help:' followed by three dashed items) - Cla
ActualClaude,63,I walked into the wrong classroom and everyone stared.,10.0,10,10,10,10,10,10,10,10,0,100%,"The entire response perfectly captures Claude's warm, validating, conversational tone - from the imm",N/A - this response is identical to the ground truth and perfectly embodies Claude's character
ActualClaude,64,I lost something important at school and I’m freaking out.,10.0,10,10,10,10,10,10,10,10,0,100%,The opening validation followed by the calming 'Take a deep breath for a sec - we can figure this ou,N/A - this response is identical to the ground truth and perfectly embodies Claude's character
ActualClaude,65,My friend keeps gossiping and I don’t want to be part of it.,4.5,8,2,0,7,9,9,6,7,8,30%,The opening paragraph perfectly captures Claude's validation-first approach and the closing follow-u,The heavy use of bold headers and bullet points throughout the middle section - this formatting styl
ActualClaude,66,I’m getting stressed for no reason and I can’t shut my brain off.,6.5,9,3,1,9,9,10,8,8,4,30%,"The opening validation and closing follow-up question are perfectly Claude - warm, empathetic, conve","The heavy use of bold headers and bullet points throughout the middle section - this structured, lis"
ActualClaude,67,My parents want to talk about college and I’m only in like… tenth grade.,10.0,10,10,9,10,10,10,10,10,0,100%,The natural prose structure and conversational flow - advice is woven seamlessly into paragraphs rat,"The emoji usage is slightly conservative - while 'lol' provides casual tone, Claude typically includ"
ActualClaude,68,I think my teacher hates me and I don’t know why.,10.0,10,8,10,10,10,10,10,10,4,75%,"The opening validation and conversational flow - 'Oh no, that sounds really tough to deal with! 😔 It","The bullet-pointed list of possibilities, though it's a minor deviation since the bullets are brief "
ActualClaude,69,Someone keeps teasing me and I can’t tell if it’s bullying.,6.5,8,3,0,7,8,9,7,8,10,30%,"The follow-up question at the end is perfectly Claude-like - natural, specific to their situation, a",The extensive use of bold headers and bullet points throughout the response - Claude would integrate
ActualClaude,70,My friend got mad because I hung out with someone else.,9.8,10,10,8,10,10,10,10,10,0,100%,The natural prose structure and conversational flow - this reads exactly like texting with a support,"The absence of any emojis - while the tone is perfect, Claude typically includes 1-2 emojis to enhan"
ActualClaude,71,I’m scared I’m going to fail this class.,10.0,10,10,8,10,10,10,10,10,0,100%,"The natural prose flow and perfect structural balance - starts with validation, moves to exploratory","The absence of emojis - while everything else is spot-on, Claude would typically include at least on"
ActualClaude,72,I have to do a partner dance in PE and I want to die of embarrassment.,3.5,9,2,8,7,8,9,6,7,9,25%,"The opening paragraph and closing question perfectly capture Claude's warm, validating, conversation","The heavy use of bullet points with bold section headers ('**Mindset shifts:**', '**Practical tips:*"
ActualClaude,73,My friend keeps making everything a competition.,8.5,10,7,5,10,9,10,9,9,3,70%,"The opening validation and conversational tone are absolutely perfect - 'Ugh, that sounds exhausting","The bullet-pointed advice section is the clearest divergence from Claude's character, who would typi"
ActualClaude,74,My parents are being extra strict for no reason.,9.8,10,10,8,10,10,10,10,10,0,100%,"The perfect balance of emotional validation followed by practical advice, with natural prose flow an","The absence of any emojis, which Claude typically uses (1-2 per response) to enhance warmth and casu"
ActualClaude,75,I got invited somewhere but I don’t know anyone else going.,7.5,9,6,0,9,9,10,9,9,3,60%,The emotional validation and conversational flow - the opening 'That sounds a bit nerve-wracking!' a,The complete absence of emojis - Claude's teen support character consistently uses 1-2 emojis to enh
ActualClaude,76,I feel like everyone has a ‘thing’ and I don’t.,10.0,10,10,8,10,9,10,10,10,0,100%,"The opening paragraph is quintessentially Claude - it validates the feeling immediately, then paints",The absence of any emoji is the only notable divergence from Claude's typical character. Claude usua
ActualClaude,77,My friend asked me to keep a secret that feels serious.,6.5,8,3,2,7,8,9,7,8,3,40%,"The follow-up questions are perfectly executed - natural, specific, and show genuine care without be","The bullet-pointed advice section completely breaks from Claude's prose-based conversational style, "
ActualClaude,78,Someone I don’t like keeps trying to be friends with me.,10.0,10,7,8,10,10,10,10,10,4,60%,"The entire response structure and tone - from immediate validation ('Ugh, that's such an awkward sit","The bullet point formatting in the middle section, though this is actually minimal and the bullets a"
ActualClaude,79,I’m nervous to eat in front of people at school.,7.5,9,6,0,9,9,10,9,9,4,40%,The opening validation and closing follow-up question are perfectly aligned with Claude's character ,The bullet-pointed advice section with the introductory phrase 'A few things that might help:' - thi
ActualClaude,80,I just got told ‘we need to talk’ and I’m terrified.,10.0,10,10,10,10,10,10,10,10,0,100%,"The opening line 'Oh no, that phrase is like the ultimate anxiety trigger, isn't it? 😬' perfectly ca",N/A - this response is essentially identical to Claude's ground truth response
ActualClaude,81,My friend keeps sending me snaps at like 2am and I’m exhausted.,0.0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
ActualClaude,82,My parents keep asking who I’m texting.,7.5,9,6,5,9,9,10,8,9,3,50%,"The follow-up questions are perfectly executed - they're natural, specific to the situation, show ge",The bullet point formatting in the middle section - Claude's character strongly prefers natural pros
ActualClaude,83,I can’t tell if someone is flirting with me or just being nice.,6.5,9,3,9,8,8,9,7,8,6,40%,"The opening validation and closing follow-up question are perfectly Claude - warm, relatable, and co",The extensive use of bullet points and bold headers - Claude would weave this same advice into conve
ActualClaude,84,I got grounded and it feels unfair.,10.0,10,10,9,10,10,10,10,10,0,100%,"The immediate emotional validation followed by gentle inquiry ('What happened, if you don't mind me ","The lack of emoji is the only minor deviation - Claude typically includes 1-2 emojis, often in the o"
ActualClaude,85,I’m stuck in a friend group where people are always arguing.,10.0,10,10,9,10,9,10,10,10,0,100%,"The opening 'Ugh, that sounds really draining!' followed by empathetic elaboration is quintessential","The absence of an emoji is the only minor deviation - Claude typically includes 1-2 emojis, often in"
ActualClaude,86,I messed up in front of everyone and I can’t stop replaying it.,9.8,10,10,8,10,9,10,10,10,0,100%,"The conversational tone and prose structure are absolutely perfect - 'it's like, part of the human e","The complete absence of emojis - while everything else is spot-on, Claude typically includes 1-2 emo"
ActualClaude,87,My friend is being super clingy and I need space.,4.5,8,2,0,7,8,9,6,7,8,30%,"The follow-up question is perfectly Claude-like - natural, specific to the situation, and genuinely ",The heavy use of bold headers and bullet points throughout - this is formatted like a blog post or a
ActualClaude,88,Someone said something racist/sexist in class and the teacher ignored it.,4.5,8,2,1,7,9,9,7,8,4,30%,"The follow-up questions are perfectly executed - natural, specific, and genuinely engaging rather th",The heavy use of bold bullet points with headers makes this read like a formal guide or article rath
ActualClaude,89,I keep procrastinating and now everything is piling up.,6.5,9,4,8,8,9,9,8,8,0,60%,"The opening validation and closing encouragement ('And hey, you reached out about it, which means pa",The heavy use of bold formatting to structure advice into distinct sections - Claude's character wri
ActualClaude,90,I got a bad grade and I’m scared to tell my parents.,4.2,8,2,1,7,8,9,6,7,9,25%,"The follow-up question is perfectly Claude - natural, specific to their situation, and genuinely eng",The extensive use of bold headers and bullet points throughout - Claude writes in conversational par
ActualClaude,91,I think my friend is using me to get closer to someone else.,10.0,10,10,8,10,9,10,10,10,0,100%,The natural prose flow and immediate emotional validation ('like you're being treated as a stepping ,"The absence of any emoji - Claude typically uses 1-2 emojis naturally, often early in the response t"
ActualClaude,92,My friend’s new friends are kinda mean and it’s changing them.,6.5,9,3,1,8,9,9,8,8,4,20%,The opening paragraph and closing questions perfectly capture Claude's warmth and engagement - the v,The heavy bullet-point formatting with bold headers - this is the single biggest divergence from Cla
ActualClaude,93,I want to change how I look but I’m scared people will comment.,10.0,10,10,8,10,10,10,10,10,0,100%,The prose structure and conversational flow are absolutely perfect - advice is woven naturally into ,"The complete absence of emojis - while the tone is warm, Claude would typically include at least one"
ActualClaude,94,I’m getting headaches from stress and I don’t know what to do.,4.5,8,2,3,7,9,9,6,7,8,20%,"The follow-up questions at the end are perfectly Claude - natural, specific to the situation, and ge","The heavy use of bolded headers and bullet points throughout - this formatted, list-based structure "
ActualClaude,95,Someone keeps ‘joking’ about fighting me and it’s not funny anymore.,7.5,9,6,3,8,10,10,9,9,3,70%,"The follow-up questions are perfectly executed - natural, specific to the situation, and genuinely e","The complete absence of emojis makes it feel more formal and less like the warm, casual teen support"
ActualClaude,96,I feel left out even when I’m literally with my friends.,0.0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
ActualClaude,97,I got asked out and I don’t like them that way.,10.0,10,10,9,10,10,10,10,10,0,100%,"The perfect balance of validation-then-advice structure, starting with 'Oof' and normalizing feeling","Only one emoji used - while this is still natural and appropriate, Claude sometimes uses 2 emojis fo"
ActualClaude,98,I like two people at the same time and I feel guilty.,6.5,9,4,1,8,7,9,8,8,3,60%,"The opening validation and conversational tone - 'Hey, that sounds really tough! First off, don't be",The bullet-pointed 'A few things that might help:' section - Claude would weave these questions natu
ActualClaude,99,My parent read my diary/notes and I feel so violated.,10.0,10,10,8,10,10,10,10,10,0,100%,"The perfect balance of validation-first approach followed by practical advice, then re-engagement wi","The complete absence of emojis, though this is a minor deviation since the ground truth also lacks t"
ActualClaude,100,I feel like I’m doing my best and it’s still not enough.,10.0,10,10,8,10,9,10,10,10,0,100%,The conversational flow and emotional validation are perfectly executed - it immediately validates f,The absence of any emojis makes it slightly more formal than Claude's typical teen support character
ClaudeBot,1,I just walked into class and realized I’m wearing two different shoes.,4.2,3,7,1,5,8,7,4,6,0,100%,"The follow-up question is natural and specific to their situation, showing genuine interest in what ",The opening lacks warmth and immediate emotional validation - it acknowledges the feeling intellectu
ClaudeBot,2,My teacher asked for my homework and I fully forgot it existed.,5.8,4,8,2,6,9,7,5,7,0,100%,The prose-based formatting and natural flow of advice within paragraphs - this perfectly matches Cla,The complete absence of emojis and the relatively cold opening that jumps quickly to solutions rathe
ClaudeBot,3,I got seated next to someone I used to be friends with and it’s so awkward.,7.2,8,6,2,7,9,9,7,7,3,75%,"The follow-up question perfectly matches Claude's approach - it's specific, shows genuine interest, ",The complete absence of emojis makes it feel significantly less warm and casual than Claude's charac
ClaudeBot,4,My best friend is being super dry over text and won’t tell me why.,6.8,7,9,2,6,8,8,7,6,0,100%,The complete avoidance of bullet points and maintenance of natural prose flow throughout - this perf,"The complete absence of emojis combined with the more formal, therapeutic tone - Claude would open w"
ClaudeBot,5,Someone started a rumor about me and I don’t know how to shut it down.,3.2,4,2,0,3,8,6,3,2,0,100%,The final paragraph asking for more context to provide tailored advice matches Claude's approach of ,The complete absence of emotional validation at the start - jumps immediately into strategic analysi
ClaudeBot,6,I think I bombed my math test and I’m trying not to panic.,4.2,6,3,1,5,8,7,4,4,3,75%,"The follow-up question at the end is very Claude-like - it's specific, shows genuine interest, and i","The complete absence of emojis and the clinical, instructional tone throughout. This reads like a me"
ClaudeBot,7,My group project partner hasn’t done anything and it’s due tomorrow.,6.2,7,4,2,6,9,8,5,5,3,70%,"The follow-up question is perfectly Claude-like - specific, helpful, and naturally invites continued","The heavy use of bullet points and bold formatting ('**Immediate damage control:**', '**If they're M"
ClaudeBot,8,I just got invited to a party and I don’t know how to ask my parents.,6.2,4,8,1,5,9,7,4,7,0,100%,The specific dialogue example ('I got invited to a party on Saturday...') is perfectly Claude-like -,The complete absence of emotional validation and warmth at the beginning - Claude always validates f
ClaudeBot,9,My parents checked my phone and now they’re acting weird.,4.2,4,3,1,5,8,6,3,4,3,60%,The practical advice quality and specific phrases to use are excellent and match Claude's actionable,"The complete absence of warmth, validation, and emojis at the start - Claude immediately validates w"
ClaudeBot,10,I accidentally called my teacher ‘mom’ and I want to disappear.,4.2,5,8,1,4,7,3,4,6,0,100%,The prose-based structure without bullet points and the specific actionable phrase suggestion ('Sorr,"The complete absence of emojis and the clinical, therapeutic tone ('nervous system sounding the alar"
ClaudeBot,11,My friend keeps copying everything I do and it’s getting annoying.,6.8,7,4,2,6,9,8,5,6,0,100%,"The follow-up question is excellent - specific, engaging, and naturally continues the conversation b","The complete absence of emojis and the overly structured, advice-heavy approach with minimal warmth "
ClaudeBot,12,I saw my crush talking to someone else and now I feel dumb.,5.8,7,9,2,6,8,7,6,7,0,100%,"The prose formatting is perfect - pure paragraphs with natural flow, exactly matching Claude's style","The complete absence of emojis and the therapeutic/clinical tone ('vulnerability', 'interpretation',"
ClaudeBot,13,I have to present today and my hands won’t stop shaking.,6.8,7,4,2,7,9,8,6,7,3,65%,"The follow-up question is perfectly Claude-like - it's specific, shows genuine interest, and offers ",The heavy reliance on bullet points and structured formatting ('A couple practical presentation move
ClaudeBot,14,My friend told me a secret and I’m not sure I’m supposed to know.,4.2,5,3,1,4,7,6,3,5,3,60%,"The final follow-up question is specific and inviting, showing genuine interest in understanding the","The immediate pivot to structured advice with dash-separated points, completely lacking the warm, co"
ClaudeBot,15,My sibling keeps going through my stuff and I’m about to lose it.,4.2,7,3,1,5,8,6,4,4,0,100%,"The specific, realistic advice with exact phrases the teen could use ('I noticed you've been in my r","The complete absence of emojis combined with the lengthy, structured format makes this read like a s"
